wallet,segment,CyberKongz Genesis,CyberKongz Babies,CyberKongz VX (Any),CyberKongz Genkai (Any)
0x09bcb1d4290ccdd27cd2669fda4016ea26a5332c,babies,0,1,0,0
0x09dc47c3c21a11f41e25a058c1dfc07951661c22,babies,0,1,0,0
0x0b08ba80b90146667b7a31380c420ff4b9fd5a0d,babies,0,1,0,0
0x0ce02d3a89efa218cd0f486514cae77d74b88bee,babies,0,1,0,0
0x0e14fcedc3f1469b367aadaabf3aafeaba97ced1,babies,0,1,0,0
0x0e2019e5abbd8d62c801bf36b1aeec730902b22f,babies,0,1,0,0
0x0f341830a6fcdfad3efc6f95d30d87f2b20a86ad,babies,0,1,0,0
0x0fb7f9eb8e9bee4dd70dc334b94dee2621a32fb3,babies,0,1,0,0
0x100deb6ef0fb95b18c2534ac821c5fc3a3fab4b0,babies,0,1,0,0
0x105f102b8e77a46158eac2263658653a193bfbf7,babies,0,5,0,0
0x10c555dff47f00af0c3081b95f9434753fffe9c1,babies,0,1,0,0
0x10fdd2ea9583fd9a9a52e84b8193dd41ec9b8804,babies,0,3,0,0
0x1116245a2424bc24c563c25f261e4e156ffb0fc1,babies,0,1,0,0
0x1120672057f6dbc49696a23ae690b20dd11ace67,babies,0,1,0,0
0x1198da15dfaa0053f74d828ceca41e2885705896,babies,0,1,0,0
0x11ca77a7ff3a14d992e70bf042f056485a40a4a6,babies,0,1,0,0
0x13eb805e5bb9aebed9f8c54729cebbd5ba86bebe,babies,0,2,0,0
0x14a53908653a278b9153feac4978a32dcedd18d0,babies,0,1,0,0
0x14aef6612947ca3bb10321b6e362d9c0bebec91e,babies,0,1,0,0
0x151d14b776c36d044a418affb08e0431c9601683,babies,0,3,0,0
0x1581a8566da0075aa447104a6bff161c158cc60f,babies,0,2,0,0
0x158669cbdea0e9b5ddf61f39e38c657ecf535580,babies,0,1,0,0
0x15cc791e09a78145c03bac8d3ae2517d00a960eb,babies,0,1,0,0
0x15f5b46ab02587d98c8d3ace00ae3afe0a9ef030,babies,0,1,0,0
0x1750b06dd7628f61dd7939e3826a0414a5c50f92,babies,0,1,0,0
0x17ea18a74a7b79dd2bd7a6e7eb124b684705bca3,babies,0,1,0,0
0x194b3496e9d2ffae6af332350d33af8b21ca9b5d,babies,0,1,0,0
0x194ca440b2c6cc78cab0789e84aa38b3c644d0e1,babies,0,2,0,0
0x19847a32b0eb348b006c79c1fb2d3ae1276c6028,babies,0,1,0,0
0x199ae759f84452cda7067b920853368a818b7504,babies,0,1,0,0
0x1a4eaceb76cd8841b30070ecaec9242f48e5b4b9,babies,0,1,0,0
