wallet,CyberKongz Genesis,CyberKongz Babies,CyberKongz VX,CyberKongz Genkai,CyberKongz VX (Ronin),CyberKongz Genkai (Ronin),CyberKongz VX (Any),CyberKongz Genkai (Any)
0x02f92fb67ab4af0881d3266b9622a4641df16da2,1,2,1,0,0,0,1,0
0x030289ebff65c22552a2a2f90eb5872f1b0a603e,0,0,0,1,0,0,0,1
0x030dacaadebb91adebe1321e63d06b430ebdd0d6,0,0,2,0,0,0,2,0
0x030e40508954b879df2fb0f55b38f578d665c3ac,0,0,1,0,0,0,1,0
0x0333f4d56c7e0eb5640b899869046a54f29a56aa,0,0,0,0,1,0,1,0
0x033836b8c7c03647621fcc2d84ce8c0c39a26b05,0,1,2,1,0,0,2,1
0x033a97735bca801ea54d8fbb78ced0c274679be5,0,0,0,0,2,9,2,9
0x0355118250baec656ae29d74b8d9a719dbd1b6a3,0,0,0,0,0,1,0,1
0x0356cc85b9d7a9e9269a727c969db910ce92237d,0,0,0,0,0,1,0,1
0x035b73c63dda621e7b3ce679308f39023853f309,0,0,0,1,0,0,0,1
0x035d8e1745e373551abcfebcc1fbcbaab1aa9dd1,0,0,0,0,0,1,0,1
0x03651aeb28577c4d7886405ca3f8169df44c17d4,0,2,0,0,0,0,0,0
0x036e48d58cf1be42fc14193192c78502caf0d83b,0,0,0,0,0,1,0,1
0x037f2c89983948ed9e7f7bc85c06f60f79b561d6,0,0,0,1,0,0,0,1
0x038a7bba4439a210a5caebda8ec1642a5a7747c4,0,0,1,0,0,0,1,0
0x038bf339316b632db36e21f80bb29b0c764ab9fb,0,0,1,0,0,0,1,0
0x038c275a365b7bf84fbc5c86156619943df1c123,0,0,1,0,0,0,1,0
0x0393931783b1d0ead3b8b0e0f44c1f23ec3c4af5,0,0,1,0,0,0,1,0
0x0393aba846b0c4083ccc0f70a8b1b47f0e7f560b,0,1,0,1,0,0,0,1
0x03a3e9fb0416ffe404a26b1ff2638bb96ce32419,0,0,0,0,1,8,1,8
0x03a969039a8196cf199a16b14d339c3d67662c2e,0,1,0,1,0,0,0,1
0x03aaa8113361d869765a5052e4d8270bf1642ff5,0,0,1,9,0,0,1,9
0x03c17049d1e8d7598bc9266f34de817c220bd16b,0,0,0,0,0,1,0,1
0x03caa2a24d3652859dfed00ce2bada5fb1029b0c,0,0,0,2,0,0,0,2
0x03d76ed75d6b884edd34f29fb73c16955c235ef6,0,0,0,0,0,1,0,1
0x03e13d50ba6c9ff6fa6ef7efdaeef168e5e8dfba,0,0,0,0,1,0,1,0
0x03f0e71ac43276fcf0b327b1abe8cdf5974aecc1,0,0,2,0,0,0,2,0
0x03f345b90ee688b60335d1379ea3724c62178bec,0,0,0,0,1,1,1,1
0x03f63b96240c4a0a3e197329787adf0fa42806df,0,0,1,0,0,0,1,0
0x04092a1bcaf7885ff2a0e89ec902e92f2556c1ac,0,0,0,0,37,24,37,24
0x0409891e122e9058e84f137231de1c4671065d6d,0,0,0,1,0,0,0,1
0x040a1b7433b748477e7291a45a5fd8973203257c,0,0,0,0,0,1,0,1
0x040a7ede7fbf731f59f2303a91aae713e4d6bb7c,0,1,0,1,0,0,0,1
0x040edae8918a3594080e18fbf830ee1311b172b5,0,0,0,0,0,6,0,6
0x0414d2db927258c5e2e7ce47131ac734f96c4779,0,0,2,0,0,0,2,0
0x0418c85ce76b952a7143a3947c94010646c210ee,0,0,0,0,0,1,0,1
0x0436a856cadc263f2668f036704623c2fad6ecfb,0,0,0,0,7,0,7,0
0x043cf5bda7f8b79d59a4722768cf4ca2dd7b7dd3,0,0,0,0,0,1,0,1
0x0443363ea7efe9464671dc6344709b9cb4062878,0,0,0,0,0,1,0,1
0x0445599d5a7740bef23b4d87c73856104f22db3a,0,0,0,0,0,1,0,1
0x04487655d40e07fecc1b5f388d2323a5a13b2ef4,0,0,0,0,0,2,0,2
0x044c718183c6b4e08ca94aa4b42e3779f48c1632,0,0,0,0,0,1,0,1
0x04533242efbd2913686e0a7e2ebe335e229804e3,0,0,0,0,0,1,0,1
0x04561e045b1a8ad3de91595d3e18ceb9f4a7e164,0,0,0,4,0,0,0,4
0x045c1f64b087f5812e271386110ac92e3e7cf3ed,0,0,1,0,0,0,1,0
0x0462ed40aa86eacec9f5140b19029616f823a902,0,0,2,0,0,0,2,0
0x0481ac68cc3cb70f71c537c9cc14a6ddc29881b1,0,0,0,0,0,2,0,2
0x048a934cee97703b6bcbcb45492d9aa63d83965c,0,0,0,0,0,6,0,6
0x048d78754591932ef307305754f1f07a7fa4b1bd,0,0,0,1,0,0,0,1
0x048de4485191a040096bd03e9995f0d34d8c0d8e,0,0,0,0,0,4,0,4
0x048e066fcd057536ca3ab8a72cc6e1941b8fdd5a,0,0,1,1,0,0,1,1
0x048ef6fe78691505958409d9c959488fabcb97b1,0,0,0,0,0,1,0,1
0x049ae5d9ee3db7f9462ef16a1d572bc4aa1819cd,0,0,0,0,0,1,0,1
0x04ac1a0073a897d5f2237e10829c6dc85f1897eb,0,0,0,1,0,0,0,1
0x04ad2580a73d5ce18a0f2b6970e049f93a6e089f,0,0,0,0,2,6,2,6
0x04bd2be9e68b56527569187c9b0908f451b5ce8a,0,0,1,0,0,0,1,0
0x04bfb0034f24e424489f566f32d1f57647469f9e,2,2,5,6,0,0,5,6
0x04d297e63eff24351e4aa64798ab19c643609416,0,0,0,0,0,1,0,1
0x04d4598bfa6b4f08ed7e69a1937ac0023aced26e,0,3,0,0,0,0,0,0
0x04da6c27370c6a2955bcace007952f58c528ab25,0,1,0,2,0,0,0,2
